,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age_Months,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Creative_professionals,Business_professionals,Technical_professionals,Service_professionals,Early_months,Spring_months,Summer_months,Good_credit_mix,Standard_credit_mix,Small_value_payments,Medium_value_payments,Large_value_payments,Credit_Score
11,26,11.490592122113052,8.915898080226468,6,6,12,0,16,8,17.92,1,4.676653287609955,44.6768885939621,331,1,6.445427162512433,4.684941521027771,6.845480392694306,1,0,0,0,0,0,1,0,1,0,0,0,Good
12,31,9.867877991318117,7.32142772566717,6,7,17,5,51,18,9.95,7,7.795732952353709,36.6412035787929,219,0,3.903427413839149,4.012740593148884,5.724780111284157,0,1,0,0,1,0,0,0,0,1,0,0,Poor
13,41,9.228476415213889,6.979689431768332,7,5,17,5,48,18,7.97,6,7.422032937613795,32.3855976208381,122,0,3.62668678832158,4.525715097508278,5.589151100328246,0,1,0,0,1,0,0,0,0,1,0,0,Poor
14,32,9.44148740977624,6.661902160563334,5,5,10,3,25,19,15.79,7,6.3452854220638075,36.5274800401441,152,1,3.2604149073409294,3.871369052125514,5.684039845663066,0,0,0,1,0,0,1,0,1,1,0,0,Poor
15,30,10.442612545013397,7.900084404261656,9,8,25,7,52,10,17.96,9,7.8961098952854405,39.2802955881522,164,0,5.220960953191912,5.513710792425115,4.668793226477784,1,0,0,0,1,0,0,0,1,0,0,1,Poor
16,32,10.670587550356755,8.19483317401948,3,3,18,1,15,8,12.97,4,7.117286602876485,28.3611661543111,232,1,3.4202181616686342,3.922154485317722,6.256006118345947,0,1,0,0,0,1,0,0,1,0,0,0,Standard
17,55,9.912745564584007,7.429027150218279,1,5,1,2,4,3,6.83,4,6.0242221113461545,31.8617362719231,221,0,3.3855619062124696,3.2692067679589,5.893277609126229,0,0,1,0,0,1,0,1,0,0,1,0,Good
18,43,9.832401778169334,7.235117093832535,7,7,19,6,31,22,5.07,7,7.491946599483601,35.9194049274064,228,1,4.176530936378611,4.327984683358052,5.626899474424753,1,0,0,0,0,1,0,0,0,0,1,0,Standard
19,21,9.471684500897686,6.866129576158205,4,3,10,2,29,17,11.8,7,7.306189058468497,24.6146102922181,105,1,2.8165637543749775,3.7885664835120525,5.752606198023396,0,0,1,0,1,0,0,0,1,0,1,0,Standard
20,43,10.973648925030222,8.447789521277357,8,5,9,6,18,20,16.58,6,4.5948167739086,27.8069177873069,158,1,5.009949721952088,4.422453449357971,6.180590800170684,1,0,0,0,1,0,0,0,1,0,1,0,Standard
21,36,10.649511298448411,8.233325612303313,2,7,10,3,4,8,2.58,4,6.322403646979566,26.9861147555636,258,0,4.6324245205853884,4.919856841103255,6.0560513141963,0,0,1,0,1,0,0,1,0,1,0,0,Standard
22,36,11.17998657870808,8.665518364451884,3,6,15,1,8,6,10.44,0,7.164735846556329,29.682953869716,308,1,3.9875666345779877,4.92239510876069,6.459419741317482,0,1,0,0,1,0,0,0,1,0,1,0,Standard
23,16,10.29112739707525,7.708784044632115,7,7,24,5,53,21,26.94,11,8.137881092414785,33.2986543054203,161,1,4.243991667195292,3.305082681510558,5.929181915435614,0,0,1,0,0,1,0,0,0,0,1,0,Poor
24,19,11.19216026446346,8.745859596989115,4,5,17,4,14,21,2.74,1,7.067916431106078,23.2821351144096,335,0,5.374533549971388,6.338140592473051,4.761137307323209,0,0,1,0,1,0,0,0,1,0,0,1,Standard
25,33,10.334894573834406,7.872342084729245,7,9,31,6,49,20,21.73,9,8.151932927430192,27.6814442259934,17,1,4.740863173547741,4.577938633486531,5.830484797452553,0,1,0,0,0,1,0,0,0,1,0,0,Standard
26,42,9.931806265796723,7.461950210110431,6,3,14,4,6,10,6.74,11,6.620006537641369,37.552295124005,136,1,3.898910740620666,5.259431355932329,5.404177073852762,0,0,1,0,0,0,1,0,1,1,0,0,Standard
27,22,11.909681559472087,9.428078138327754,3,4,5,3,13,6,9.2,1,6.8558091399589465,26.7157970408541,372,0,5.899664935904009,6.758228838220229,5.624848040010253,0,0,0,1,0,0,1,1,0,1,0,0,Good
28,27,9.558545649337171,6.963602231380488,7,10,33,9,59,24,8.82,11,7.936363470761473,27.6425107339481,171,1,4.075305137868792,4.6611416891198845,5.398698249942662,0,0,1,0,0,1,0,0,0,0,1,0,Poor
29,43,11.312549259474983,8.8261752989012,10,9,25,9,20,19,16.25,11,8.023932398829718,28.6431287480082,9,1,6.352744020187885,5.1063905614587615,5.203345734276021,0,0,0,1,0,0,1,0,0,0,0,0,Standard
30,38,11.471650242757818,9.021522761438526,8,4,11,2,23,10,11.94,2,6.984466288863056,35.7400671497169,380,0,4.559352701238409,5.580904695381187,6.575221363991586,0,0,0,1,1,0,0,0,1,0,1,0,Standard
31,26,10.819118266646472,8.316768965577953,7,6,31,6,27,11,19.87,11,7.7204395115675215,38.5792138079933,204,1,5.049877235631848,4.385501341207547,6.047159339166381,0,1,0,0,0,1,0,0,1,0,1,0,Poor
32,14,10.593811250818833,8.078668073987998,9,9,16,5,57,21,17.25,10,8.045460067456343,30.1880593635703,149,1,4.893883066300592,5.293288496946908,5.598517894980741,0,0,0,0,1,0,0,0,0,0,1,0,Poor
33,43,9.55603849039632,6.920158045699179,8,5,21,8,62,17,5.51,6,8.311796233639997,36.1372924009406,151,1,4.403208885930036,4.823871246232875,5.220839085139413,0,0,0,0,1,0,0,0,0,1,0,0,Poor
34,36,9.755647419259677,7.4113236323501885,6,3,7,7,8,15,15.06,6,7.796321205813292,37.2259443913206,137,0,4.049193160525754,3.2808613643497866,5.77303381308604,1,0,0,0,1,0,0,0,1,0,0,0,Standard
35,22,10.513858647312606,8.049594401558233,8,7,6,4,14,19,5.79,4,4.830311739964974,23.3367445059784,297,0,4.562270126746616,5.559876709033249,5.427857237874032,0,1,0,0,1,0,0,0,1,0,0,1,Standard
36,20,11.155930469820571,8.695919403809535,10,7,20,9,49,18,6.81,11,8.0203888090125,35.6071056353549,154,1,6.185694975518169,5.181253034562981,5.366866470948551,0,0,1,0,0,1,0,0,0,0,1,0,Standard
37,16,11.277057298031172,8.77173824744697,9,5,29,7,27,17,15.27,9,7.465598067511184,34.7050051808117,121,1,5.676009553953213,4.478146336026454,6.244328647296308,1,0,0,0,1,0,0,0,0,0,1,0,Poor
38,45,10.639377122477175,8.203001946316371,8,5,31,3,62,22,9.81,8,7.568787242454799,30.0899523995039,230,1,4.627747367937782,3.451890801961245,6.155592982021936,1,0,0,0,1,0,0,0,0,0,0,0,Standard
39,19,11.208264869682642,8.688922177832032,7,3,18,4,20,20,14.92,2,7.10610601268562,35.7261306876056,374,1,5.36977003851555,4.728823999433978,6.245529334815643,0,0,0,1,1,0,0,0,1,0,1,0,Standard
40,34,11.389202497798388,8.889520364265454,5,2,8,3,15,8,11.01,4,5.786682634383844,31.5286769015279,371,0,5.352731639713272,5.646793103523311,6.1758427587461835,1,0,0,0,0,1,0,1,0,0,1,0,Good
41,26,11.004797864929383,8.555934623065818,5,7,5,7,18,10,14.79,7,6.944521058172461,36.3592455152406,158,1,5.394598559784138,4.382184701975742,6.151720395791285,0,0,1,0,1,0,0,0,1,0,1,0,Standard
42,18,11.22887997214003,8.767799682060149,8,6,32,5,50,10,17.8,8,7.822981444406455,33.0439632580538,68,1,5.861831388414516,4.292915910548307,6.412603511348383,1,0,0,0,0,0,1,0,1,0,1,0,Poor
43,30,10.321883364252885,7.908951950745707,5,6,5,4,19,17,8.36,4,6.363562443514051,34.5335734462347,294,0,4.1720466590329846,4.109472828333005,5.9824011781014255,0,0,1,0,0,1,0,0,1,0,1,0,Standard
44,42,10.71901916606768,8.162600364081829,8,8,24,6,24,22,9.78,9,7.823037502482636,33.8885642588173,197,1,5.003364078866774,5.9288789608344326,4.754306834503934,0,0,0,1,1,0,0,0,0,1,0,0,Poor
45,39,10.320431525663965,7.883017502299475,5,4,14,7,29,9,18.8,5,6.260651636923519,30.2801846592814,101,1,4.5718334424944675,5.806598239863871,4.836113704128406,0,0,1,0,1,0,0,0,1,1,0,0,Standard
46,47,9.835287134831862,7.368206396671614,2,3,9,2,6,8,3.9,3,5.79264768778483,37.4552031534019,375,0,3.211707190644957,3.494987517352717,5.888067584008979,0,0,1,0,0,0,1,1,0,1,0,0,Good
47,41,9.194347159636589,6.536853420246104,8,9,31,5,65,15,29.52,8,8.514152573419043,33.4598029019177,54,0,3.6020988119348725,4.0239995437645115,5.54678438628358,0,0,1,0,1,0,0,0,0,0,1,0,Standard
48,16,10.674555729993864,8.09629029036665,10,7,30,6,36,14,8.47,10,7.684397662029142,27.9348447850509,152,1,6.132154898818581,3.9285187042239764,5.978822881223339,0,0,0,1,0,0,1,0,0,0,1,0,Standard
49,34,9.741047443461353,7.102316897429175,6,5,5,1,11,20,5.62,0,6.997477145939366,25.8948341584183,208,0,2.3547557850644645,4.7955526628897776,5.5983147610680675,0,0,1,0,0,1,0,0,1,0,1,0,Standard
50,21,10.7081575477283,8.286419983150962,6,6,29,7,39,20,29.21,11,8.247631285966095,30.8693729385387,156,0,5.515844719927016,5.121914577317775,5.483567178197965,0,1,0,0,1,0,0,0,0,1,0,0,Poor
51,47,9.786242247276837,7.12470233829907,8,4,16,2,0,15,5.65,0,6.594276651486346,26.993586231845,357,0,2.9989089168934195,3.7447537055585234,5.77413410258963,0,1,0,0,1,0,0,0,1,1,0,0,Standard
52,38,10.34242741014177,7.921573125383255,7,7,11,4,16,21,18.21,4,6.748536779421629,31.1943986462211,394,0,4.5082096081403025,4.227031977793841,5.903555243269198,1,0,0,0,1,0,0,0,1,0,1,0,Standard
53,36,11.812868859243654,9.311016734096178,8,5,15,2,12,16,9.89,3,6.504497732415973,46.1942378517788,315,1,4.977504640978876,4.863846497525863,6.985905792212866,1,0,0,0,1,0,0,0,1,0,1,0,Standard
54,28,10.59162520634336,8.022134830689662,7,5,12,3,17,18,18.53,4,6.49328474345891,29.724708029309,215,1,4.068815746327798,6.016751137127704,4.836570803636788,1,0,0,0,0,1,0,0,1,1,0,0,Standard
55,17,9.605172482934224,7.27085495671511,6,5,17,7,60,16,27.64,6,8.259755770100265,30.4743866444688,90,1,4.270323031215853,4.4174943115190874,5.632447007862708,0,1,0,0,1,0,0,0,0,1,0,0,Standard
56,28,9.642054604259053,7.344877848604041,1,7,5,4,1,0,8.41,3,5.8401764328942,39.0664076488674,340,0,3.550018738878606,4.312847061163362,5.753708139700148,0,0,1,0,1,0,0,1,0,0,0,1,Standard
57,18,10.206183968493441,7.831553426226366,7,3,11,4,12,15,5.68,1,6.824112766445484,28.555850410033,350,0,4.293650487891549,4.334864112019495,5.892571986385553,0,0,0,0,1,0,0,0,1,1,0,0,Standard
58,55,11.84477618165776,9.29397033537517,3,3,18,0,19,16,-1.05999999999999,3,6.252481750850273,40.8787603080389,244,0,6.634118475921261,6.603686097097964,6.544598676868105,1,0,0,0,0,0,1,0,1,0,0,1,Good
59,26,10.235136030661703,7.865612048507794,4,3,6,1,22,18,19.05,5,6.45455370137328,25.6873750537486,371,1,2.873476687777764,4.7624615697846755,6.030392906339085,1,0,0,0,0,0,1,0,1,1,0,0,Poor
60,33,9.561355630065473,6.990953771156336,7,10,21,8,35,19,19.42,16,8.485752058701735,30.5641244736821,162,1,3.8924812116818415,4.864524906507124,5.393782112162278,1,0,0,0,0,1,0,0,0,1,0,0,Poor
61,28,11.04004666638359,8.5307765188985,9,9,18,5,26,15,21.24,10,8.185784911296812,32.0205366951686,16,1,5.143682334500551,5.191012218342388,6.00596425150164,0,0,1,0,1,0,0,0,0,0,1,0,Standard
62,25,10.686437502189872,8.147441209757519,5,6,12,2,9,2,4.18,1,7.085298772322992,29.3178966598055,397,0,4.0308973656117235,5.434852672291203,5.767953250827064,0,1,0,0,1,0,0,1,0,1,0,0,Good
63,20,11.883672688293487,9.38239888791718,3,4,15,4,3,12,10.1,2,6.002676458071829,37.5363476649944,316,1,6.027449292670719,6.315841222424269,6.173419441682793,1,0,0,0,0,0,1,0,1,1,0,0,Standard
64,27,9.78465333958643,7.335585088945779,6,8,19,5,20,20,5.2,10,8.188241802188296,27.2285680174365,57,1,4.167449729763945,5.247312247305393,5.24062002227584,0,0,0,1,1,0,0,0,0,1,0,0,Standard
65,37,11.354266488025988,8.833277207886667,3,4,11,1,12,17,-2.17,2,6.371697313664967,30.0753326911791,382,0,4.226234530914034,5.313553372565034,6.5429664358592134,0,0,0,1,0,1,0,1,0,0,1,0,Good
66,27,11.80799101236102,9.21009959435906,3,5,12,4,26,21,11.09,3,7.264506220033016,31.9812860350401,396,1,7.185802886186384,5.558590806735314,6.72539388464022,1,0,0,0,0,1,0,0,1,0,0,0,Good
67,19,10.263458658160385,7.856634523095085,7,3,5,1,14,10,11.32,0,7.120816170688116,36.6396992983045,291,0,3.1218439773608964,5.831855607638748,5.218203879840271,0,0,0,0,1,0,0,0,1,1,0,0,Standard
68,32,10.554896172824401,7.973867906430009,9,6,32,4,34,22,0.44,11,7.587629765748179,26.0782349145576,233,1,4.315491079154089,4.819505947091459,5.89068408492747,0,0,1,0,0,1,0,0,0,0,0,1,Poor
69,55,9.8732038451143,7.5522112592255635,1,7,3,3,13,11,3.9,2,5.826324538522787,36.5078306005029,197,0,3.6690571447104885,4.835872050820054,5.753625286258317,0,0,0,1,1,0,0,1,0,1,0,0,Standard
70,19,9.616831620089231,7.101085462322359,5,5,9,1,25,11,5.04,1,5.799607673330689,24.2490097422055,261,0,2.458368830034876,3.8765751434665416,5.861879488909315,0,0,1,0,0,1,0,1,0,1,0,0,Poor
71,34,9.89227745350814,7.454770584656087,5,3,3,3,19,3,5.95,1,5.2266065189940365,38.1359610179004,266,0,3.3688647131306997,4.1801404957012975,5.881616698412235,0,0,1,0,0,0,1,1,0,0,1,0,Poor
72,24,9.912844638147199,7.523662279450301,4,3,6,3,9,6,8.31,0,5.991264527105315,31.3632289027898,243,0,3.2418217740347828,3.569564226620265,5.897296988841132,1,0,0,0,1,0,0,1,0,0,0,0,Standard
73,32,10.91783088216477,8.456364048686826,10,6,23,6,31,17,10.64,9,7.463839122653507,39.2694664549112,151,1,5.146465269343081,4.652793314253119,6.09535463201712,0,0,1,0,0,0,1,0,0,0,1,0,Poor
74,39,10.326681898122533,7.79594210307568,6,6,7,2,19,7,9.33,4,6.533599866591012,31.0226586672411,184,1,3.7605590037022445,4.571913194083752,5.867516793269852,0,1,0,0,1,0,0,0,1,0,1,0,Standard
75,29,11.901580742893927,9.4217054958197,2,2,12,2,9,0,4.21,1,7.131434686699657,26.7846827636793,247,0,5.2585702278827835,5.982460234521644,6.831675650063338,0,0,1,0,0,1,0,1,0,0,1,0,Good
76,42,9.903748518481553,7.4283936003678965,8,3,6,4,22,22,21.33,8,7.528036024054968,32.77031220863,150,1,4.086198374153962,5.113996702915613,5.404761413843753,0,0,1,0,1,0,0,0,1,0,1,0,Standard
77,33,11.0176143661483,8.549307463525574,10,8,31,8,24,18,12.4899999999999,9,8.280771879489453,21.7448835017279,58,1,5.935699885188486,5.1149212891049185,5.444689589104653,0,0,0,1,1,0,0,0,0,1,0,0,Poor
78,42,10.96145699730222,8.415793709385376,8,10,25,9,41,23,21.31,7,8.395847818163064,30.2544033838862,18,1,5.546091788944656,4.905607735818191,5.73820600754729,1,0,0,0,1,0,0,0,0,0,1,0,Poor
79,17,9.860748095859726,7.205586919863705,3,7,7,2,25,18,2.76,5,7.708127735453272,35.981596272678,198,0,3.185345831042215,2.624848762067464,5.819237961542657,1,0,0,0,0,1,0,0,1,0,0,0,Good
80,27,11.059377377578445,8.590954365347168,4,5,12,2,29,15,18.78,4,4.495578509357997,37.0153795216754,372,0,4.235567068336062,6.269730538981065,5.441720444947954,1,0,0,0,0,1,0,0,1,1,0,0,Standard
81,15,10.232662514407844,7.740824534022946,6,5,16,2,18,15,11.85,10,6.979089407586463,27.4523302446893,331,1,3.5853958227881826,3.54291167840456,5.989967877729648,0,1,0,0,0,0,1,0,1,0,0,0,Standard
82,41,11.849500267759923,9.364164998653887,3,7,18,4,27,10,4.9,3,7.048994390674862,33.1294070177854,206,0,5.853983640986271,5.932407387388279,6.537567710135558,0,0,1,0,1,0,0,0,1,0,1,0,Standard
83,48,10.520595666810484,8.008454277844246,1,6,6,4,14,3,11.56,3,6.7684817173296965,39.6308146063383,223,0,4.313349847846897,5.623363832099001,5.4769546607631385,0,1,0,0,0,1,0,1,0,1,0,0,Good
84,38,10.606378606994907,8.119092400039847,10,7,18,3,30,23,3.51,12,7.575902549740759,23.3472207596632,98,1,4.100506014759701,5.533634147719444,5.678001078784347,0,0,1,0,0,1,0,0,0,0,0,1,Poor
85,46,10.109914150960458,7.7479404037321356,3,4,14,2,9,13,11.35,0,5.2749463802247964,37.75461206929,324,1,3.41601298446167,3.9213473187891457,5.968102288322064,0,1,0,0,0,1,0,0,1,0,0,0,Standard
86,44,11.74409020040134,9.277396658381024,4,3,20,3,8,12,7.28,0,5.955319100471629,34.8671999369094,315,1,5.479668991753162,6.011990858192656,6.509205655010791,1,0,0,0,0,1,0,0,1,0,1,0,Standard
87,49,11.54137024886544,9.06459488048905,3,5,16,1,13,13,10.31,4,6.405790283648343,28.4069605200229,348,1,4.306206899686403,5.697576459941885,6.609450373213185,0,0,0,0,0,1,0,0,1,0,1,0,Standard
88,38,10.44033203099573,7.954021379983765,6,5,10,3,16,10,8.12,1,6.2390665372545655,32.6445779512237,339,0,4.199851266889016,3.2684308318751767,6.067855020908818,0,0,0,1,0,1,0,0,1,0,0,0,Standard
89,26,11.682559879256178,9.191252349289298,8,4,20,4,15,20,9.76,1,4.943497843108764,36.9090655902014,377,0,5.708971880519533,5.89006060719998,6.39376622844709,0,1,0,0,1,0,0,0,1,0,1,0,Standard
90,26,11.256981307441555,8.771919643968118,7,9,20,7,38,24,16.05,6,8.284524418876956,34.7616517520482,137,1,5.826091643849069,5.3584607650069325,5.923254056301113,0,0,1,0,1,0,0,0,0,0,1,0,Poor
91,46,10.094076506692954,7.576406535940495,3,7,6,1,26,14,0.67,2,6.6648553493022495,34.0048751522697,254,0,2.630903133710793,3.5906832096346966,6.003924567754894,0,0,1,0,1,0,0,1,0,1,0,0,Good
92,31,9.715838731031743,7.262985888705527,3,5,15,2,10,16,13.29,2,6.961163335682753,34.1222374632652,273,1,3.064603834951148,3.2525587151408404,5.844612170552271,0,1,0,0,1,0,0,0,1,0,1,0,Standard
93,20,11.220530973157839,8.752678930284333,6,5,20,6,52,17,26.16,8,8.335054817843211,26.0383525995669,159,1,5.735201687976471,4.958369590056956,6.042216513284076,1,0,0,0,1,0,0,0,0,0,0,0,Standard
94,20,10.419363402415602,7.96930297284676,7,9,27,6,57,20,7.06,9,7.767551846941742,32.8023390831324,216,1,5.066435289995382,5.253723225181902,5.434591177818001,0,0,1,0,1,0,0,0,1,1,0,0,Standard
95,27,11.42617438137406,8.96135034731775,2,6,2,2,6,8,4.95,2,7.1664049606135665,38.0152933396594,372,0,4.8740581842838315,5.050183297864229,6.596716996831254,0,1,0,0,1,0,0,1,0,0,0,0,Good
96,37,10.32556523781655,7.861680209750856,8,7,24,7,25,20,18.23,8,7.422182409529795,37.5092287666921,177,1,5.039503620236466,4.668918820693847,5.51589356764449,0,1,0,0,0,1,0,0,1,0,1,0,Poor
97,20,10.317998622282833,7.722552453313714,3,3,15,1,30,8,8.83,9,5.198165484597595,38.1374293440186,193,0,2.8890292454511517,4.857026182412905,5.855801803025886,0,1,0,0,0,1,0,0,1,0,0,1,Standard
98,31,11.001623394388144,8.554608108433987,8,5,6,3,11,20,0.52,0,5.31335375137415,32.6082942493383,243,0,4.681549959107111,5.986915453348357,5.713535086160612,0,1,0,0,1,0,0,0,1,1,0,0,Standard
99,32,10.650658558687928,8.157761833007573,1,4,1,4,11,9,7.48,1,5.552222879512287,26.8724476545673,269,0,4.907275709977659,5.391060465129025,5.577199157650168,0,1,0,0,1,0,0,1,0,0,0,1,Standard
100,33,10.473797948737003,7.907293424124838,8,3,19,3,12,17,21.14,7,7.061737373171064,39.992224557342,219,1,4.064171745357284,4.11888934598866,5.996439867515232,0,0,0,1,1,0,0,0,1,0,1,0,Standard
101,33,11.658263224847222,9.201392206287712,3,7,2,3,18,1,6.89,1,6.857892539809733,34.2810139456198,221,0,5.275018079701251,4.757581466066258,6.8343604054986065,1,0,0,0,0,0,1,1,0,0,1,0,Poor
102,44,8.92428697251622,6.240312394210448,7,7,14,5,6,19,11.87,7,6.291698760786756,27.513009725544,97,1,3.029462348728352,3.477457528346662,5.6637881525792615,1,0,0,0,1,0,0,0,1,1,0,0,Standard
103,15,10.46770587539661,7.982799225608607,10,8,32,6,61,24,2.49,12,8.399607136357902,31.0425118996118,95,1,4.730842765510601,4.816932625729167,5.8465418230586454,0,0,1,0,1,0,0,0,0,1,0,0,Poor
104,33,9.15321907509445,6.745314287623577,7,8,28,6,31,11,17.57,7,7.439312510173323,30.6668246413872,67,1,3.317632795741874,4.2683841012739405,5.620420856377912,0,1,0,0,0,1,0,0,1,1,0,0,Poor
105,46,11.157860367390361,8.697801893222389,1,7,3,2,5,1,1.75,5,6.776575405083292,39.9073975523952,304,0,4.244457786409987,4.808471445796791,6.48724413468375,0,0,0,1,0,0,1,1,0,0,1,0,Poor
106,42,10.367441670330306,7.913368603816345,8,3,14,2,18,8,14.68,1,6.415162423477206,32.9682747541504,247,1,3.5710439725865695,5.312952440687393,5.719839875879313,0,0,0,1,0,0,1,0,1,0,0,1,Good
107,39,11.067214446373534,8.628986174326187,8,4,15,4,29,17,14.7,4,7.399514284530803,30.4775068950445,93,0,4.850670443927204,5.729910125822453,5.999861727396989,0,1,0,0,1,0,0,0,1,0,1,0,Standard
108,29,9.188426507586554,6.8115421499751845,8,6,29,8,50,16,6.75,7,7.42896282362124,39.3067405849655,225,1,3.96725208417925,3.4560501309883245,5.584609810796513,0,0,0,1,0,1,0,0,0,1,0,0,Poor
109,22,11.368162317390683,8.867600266574653,8,5,13,1,17,10,15.51,8,6.120780818578038,39.7600514351212,332,1,3.8125270678834955,4.562937348370065,6.695419773161889,0,1,0,0,1,0,0,0,1,0,0,0,Standard
110,21,11.731415485385643,9.232229546408266,3,4,11,4,13,9,7.12,0,6.828549720801162,32.0579107388432,383,0,5.841169237865318,5.824959565676048,6.378937978989464,0,0,0,1,1,0,0,1,0,0,1,0,Standard
111,50,9.65544373426037,7.118456072593003,3,4,6,4,7,1,9.37,2,5.552378020496968,31.7914012529113,398,0,3.573086165358593,3.5833279680455052,5.742473539244871,0,1,0,0,0,1,0,1,0,1,0,0,Poor
112,24,10.248173110160364,7.6891773435260085,8,6,32,7,49,16,25.17,11,8.002737654145111,30.3280211297713,83,1,4.886440204188405,5.629573607213307,4.579167172454028,0,0,0,0,1,0,0,0,0,1,0,0,Standard
113,19,9.39023857815985,7.0643996327328,8,4,7,2,31,8,11.72,1,6.79079440525799,33.8466936989159,312,0,2.700367074458387,4.699967827561608,5.64236486824643,0,0,0,1,1,0,0,0,1,1,0,0,Standard
114,40,11.629487844818236,9.135569770075442,4,4,5,4,25,20,12.86,2,7.214246838670905,32.7370384608271,280,0,5.465007629552883,5.543495154906668,6.53103647752784,0,1,0,0,0,1,0,0,1,0,1,0,Standard
115,20,10.41437037466626,8.026149497564479,1,6,8,1,1,7,-1.93,4,7.111699700858695,27.4625239786432,257,0,3.06984426290104,3.9713955013119224,6.155699769784858,0,1,0,0,0,1,0,1,0,0,0,0,Standard
116,48,10.383269468133255,7.939468930294802,2,5,5,3,9,10,11.54,0,7.2001263409200496,36.6315111907545,261,0,4.384700451032552,5.023492155405852,5.76340841301317,0,1,0,0,1,0,0,1,0,0,0,1,Good
117,34,11.335036310551466,8.847258279360808,6,9,27,8,31,20,28.02,10,8.417390535535755,32.7251854866827,129,1,5.895056371867809,5.9574606126394665,5.373726004097137,0,0,1,0,0,0,1,0,0,0,0,1,Poor
118,45,11.504157538801044,9.014031852080468,8,3,10,4,15,19,13.88,7,7.026737595214002,37.2503776133006,315,1,5.505271159460805,4.175496274485461,6.621007960905622,1,0,0,0,0,1,0,0,1,0,0,0,Standard
119,15,9.250042699903679,6.542593230770943,6,7,30,5,54,15,12.66,9,7.643109095004469,31.7003465905325,177,1,3.5146092457095683,3.823616817177411,5.521605598184612,1,0,0,0,1,0,0,0,1,1,0,0,Poor
120,21,10.295815410286833,7.872977752304773,7,8,31,7,42,15,9.06,10,7.159346335664545,37.8342327925072,178,1,4.954165694168845,3.7627568749689564,5.792116534280718,0,0,0,1,1,0,0,0,0,0,1,0,Standard
